index,question,answer,category,l2_category,image_src,image_height,image_width,meta_info_source,meta_info_split,meta_info_image_path,local_path
1260,"What is represented by organ A?
Options: A: centrioles, B: vesicles, C: golgi body, D: mitochondrion",B,science & technology,biology & chemistry & physics,https://datasets-server.huggingface.co/cached-assets/Lin-Chen/MMStar/--/bc98d668301da7b14f648724866e57302778ab27/--/val/val/1260/image/image.jpg?Expires=1745640619&Signature=LxSS6-g85M0htKgztcIq1V3ldI1sDnv7nntkOPo4AYns~cHBj7D~KfwYVyWkA-2XYnjy94X2PpqR8~0Xwvkz7GuuCq8n5sSw7lW5eryqZIOyJAPzWLUshWb1CVckoIZo9M-HB~a~YgeaPZcm3PuVuDj-YWT6twyu05L-wLJiDeH2UOlVGlWcqSjY~AY3IJXD-ojHOmIBC6Esl8hyfE97f7o7QP4jEzwd9pB0WWIdcmi36TL0pKK0Ue3ZlImUl0nXRxEXFcXk~nQ84MH-mPCAWdglgwSv2LJE5ePZUOhVGErX4oP3OkiY-kJeHadBNcDvaw1n8xxNkdrSN2UpMecwxw__&Key-Pair-Id=K3EI6M078Z3AC3,471,619,AI2D_TEST,val,images/1260.jpg,data/mmstar/images\1260\image.jpg
1261,"Which Diagram Shows spring Here ?
Options: A: B, B: C, C: A, D: D",B,science & technology,geography & earth science & agriculture,https://datasets-server.huggingface.co/cached-assets/Lin-Chen/MMStar/--/bc98d668301da7b14f648724866e57302778ab27/--/val/val/1261/image/image.jpg?Expires=1745640619&Signature=jBkr~Sb5ZQlNXENG1YcIxEOmc8BGdE-RjR3me23nqL3FZBC2Njpe2loj-U6AwM~ozc1IDdQKHx4Fa85ssTN-QqxNGfzQFaOLkaYwRJw8P6uDJFUL8IsjHQhdles0VLn65QEhPZnqCNSY9P1OglgdsCdV9DTQnoVqYrS658Kvss35Y8bo43LT9WGRBLKd-9xrTP~6MAN-XNjy57bZKXnfMgy1kwc1WoeO28S7JxZA3-vkKxU012k00LdrOC9jl6nK4wpnqBfGU7zXgsOP8Yn70qNfRi8J4FLvEbaZZcqlvi6bAKW449XOfGAR5xofVcuyPuQURS8t7HudE0ktdZZ0fQ__&Key-Pair-Id=K3EI6M078Z3AC3,301,460,AI2D_TEST,val,images/1261.jpg,data/mmstar/images\1261\image.jpg
1262,"The manufacture of compound F requires five separate chemical reactions. The initial reactant, compound A, is converted to compound B, compound B is converted to compound C, and so on. The diagram below summarizes the steps in the manufacture of compound F, including the percent yield for each step. Provide the missing quantities or missing percent yields.Assume that the reactant and product in each step react in a one-to-one mole ratio. <image 1>
Options: A: 20.0%,0.50 mol,0.05 mol,20.0%, B: 30.0%,0.50 mol,0.05 mol,20.0%, C: 40.0%,0.50 mol,0.05 mol,20.0%, D: 50.0%,0.50 mol,0.05 mol,20.0%",D,science & technology,biology & chemistry & physics,https://datasets-server.huggingface.co/cached-assets/Lin-Chen/MMStar/--/bc98d668301da7b14f648724866e57302778ab27/--/val/val/1262/image/image.jpg?Expires=1745640619&Signature=QvqdGtb65F7MA11COVXJ4AsDletFEdYGeDWTAGl2SdRGyOZput8RJJ7CQIiSwz8qN0rdpp-4YmLNUYxZxTJLppQrZIavntV44HxaIuR0qGNwaP3mPqJikbDvgft~EToB6g4IFW-CnBKvZQn45G0QM34G4qDaoNMP5x0g6y8qXOvyFeoaGJWnIMu3EDtbiRUlI5cRzPpaJZ-tGBVyqc6sb2S1~~Om6-~OQ7zqRyqU6s0OTGR5F5NX495w4m0l7qboC0LKrWS56bnzqCgvTjNEyCutplXHCBdlVtRGkVORe-JLroypkjBCV8jsI~JJneANlosQdMNh9VX3P5sRtkIzqw__&Key-Pair-Id=K3EI6M078Z3AC3,429,464,MMMU,val,images/1262.jpg,data/mmstar/images\1262\image.jpg
1263,"The stages in its life cycle are labeled A, B, C, and D. Which stage is shown at C?
Options: A: adult, B: egg, C: pupal, D: larva",B,science & technology,biology & chemistry & physics,https://datasets-server.huggingface.co/cached-assets/Lin-Chen/MMStar/--/bc98d668301da7b14f648724866e57302778ab27/--/val/val/1263/image/image.jpg?Expires=1745640619&Signature=ge3nGKQ3i09BOvEBICuIg8q92HOVEEjSPUYu1~04YTpVc33aO7xoi2ffPTiq5jGefWqqpW5ThCHXRZ3m3dJVgEwYNJmjGEfYcFRl75ophlkhE7hGkiL2TbUFSfXXkxgMqlb-9j6flGOXPLkoOReOJ-65AK3ncNakkbS-N8i6MaATb~Z835WVzK-pkaTAal2SuuM9L9dNK~lBSjRhW-qiOnYxcdaomDISK5-WzAcpgsmjwjR-N6hU5OWUxkIN8kRZEQZbFlidI1Um8rbFmqgVSfdr1bjTUUssXueWO2rUrNOoTZLpAS9p1YbApe4HD5cfvzhfJghqkB5NxUy1i6IkRQ__&Key-Pair-Id=K3EI6M078Z3AC3,312,275,AI2D_TEST,val,images/1263.jpg,data/mmstar/images\1263\image.jpg
1264,"What's shown at stages B and I?
Options: A: the new moon, B: the moon, C: low tide, D: high tide",C,science & technology,geography & earth science & agriculture,https://datasets-server.huggingface.co/cached-assets/Lin-Chen/MMStar/--/bc98d668301da7b14f648724866e57302778ab27/--/val/val/1264/image/image.jpg?Expires=1745640619&Signature=a0oQTQ9ge7P7x6RmjHlZttyzANo7rlrcsDaAILtom7W0JdtC1LJXF69s-JU3ViiMtXle2mRzpY4PVBof5BTgv0ysg646DEWJeH-hEnUOA4Xs74~3PWkKzy3RDh3-YUVZdVgXlmyTv5~KOo6AqsF0pKXiYOOF3zICJs32Yvj9QBCNXVkg8f0vIM5156nUgR-KuOcFhTLQ8wDA7lc-0YKIcWlhkcNj0nctlKaJB5ijz7W~cl-5OmFRexV~0bp3WJ1yZhUQKiONw6H8kwyK2lIrWTrbHbiuJdOiKZgXn0jPoD8SFI9QDxL5u00uxXcR8epEmcfjDdP3YAgvfLSGWB0ZqQ__&Key-Pair-Id=K3EI6M078Z3AC3,265,452,AI2D_TEST,val,images/1264.jpg,data/mmstar/images\1264\image.jpg
1265,"What is represented by H?
Options: A: The orbit of the earth., B: The stages of the moon., C: The gravitational pull of the moon., D: The orbit of the moon.",C,science & technology,geography & earth science & agriculture,https://datasets-server.huggingface.co/cached-assets/Lin-Chen/MMStar/--/bc98d668301da7b14f648724866e57302778ab27/--/val/val/1265/image/image.jpg?Expires=1745640619&Signature=SS~QHxD3BK-mSt3dXPlPqEVphyVRuBimdp4oOYSychFWwTp~9qDgnXnMUYGMVJzzcwshIXUZIETPhZKXZPOotptoZYJEFztsIQRGuotq63ev9By7-aD3E2VAGVh9xBkxCyLz5Y8~CE7bUiHFA67uwQzB1-SIMEgEl774Lj38bv~x1gsUd2vpAkN74BZ7cHZMvFBHnPtj8Ja4cySXdIFSWDPAETP~HxPKjt3L~p8yyST0zNqdX8AoRBjj3MfIcU5lkNwHAkkf6sSbPQyvneuuh-F4tf8JfJf2~rIV9~LLr8TJsj74Lhb7Kxr7S1Isaum6p9p7XnjpL0JXp0icMh359g__&Key-Pair-Id=K3EI6M078Z3AC3,265,452,AI2D_TEST,val,images/1265.jpg,data/mmstar/images\1265\image.jpg
1266,"Which label represents the A horizon ?
Options: A: A, B: D, C: B, D: E",B,science & technology,biology & chemistry & physics,https://datasets-server.huggingface.co/cached-assets/Lin-Chen/MMStar/--/bc98d668301da7b14f648724866e57302778ab27/--/val/val/1266/image/image.jpg?Expires=1745640619&Signature=CLR1d9schjoo7du7G9aqV5wF07fJwUXNwu7jjosmM3GJhIGXd8j2Euml8Md9WgEXRcDCrDOU1LfUFdnXEPs275xroAj-3jbYv4pPeAAAUT8z4Bn7iTizwhhcK8cpYwAonQy9Zh1yEVSJP7nxtaTFl7dlvJ16NcNkSs8a-fSUubTofoT5wdVCNQXsCqTjPIsNRFDx4mQv0ncRntWAVboJAorI4Cz20AmlBT~Lzf21o~JXX~Tww6Vmfie-q49uBmZNDIM2iKjzYZamwR5nYpVvrzRj4Rpn8~njuP~ziBtnB-Ep~LaVcFG3CkJj8f6aDJ1FeBZCzaoQv4RI1oWerga7QQ__&Key-Pair-Id=K3EI6M078Z3AC3,620,351,AI2D_TEST,val,images/1266.jpg,data/mmstar/images\1266\image.jpg
1267,"What is the object labeled E?
Options: A: Earth, B: Uranus, C: Mars, D: Venus",D,science & technology,geography & earth science & agriculture,https://datasets-server.huggingface.co/cached-assets/Lin-Chen/MMStar/--/bc98d668301da7b14f648724866e57302778ab27/--/val/val/1267/image/image.jpg?Expires=1745640619&Signature=fN3e7HY7ikWKzUg2aZTiE4TiyAnzxKbOiYiqqSSPsvQjPt~maq8VMwQpUQjCqrn2kUgBM-8T~P4DgPoI9MvOlbvIFJB0m1aBYWq1YZossPSkmGUbwHShODWZdexgTfyafojwFVE7rgMMFefif8N15rB6QyKJkRXwbZQ1IPZHWT-IFhRni4ep9XpCiFU8AhHr5gn5-pVlFvzE7AEymg6EpaFtpPlhl7k6UCVRXcL-66bj9qzJd2AX3vJZbVRgDZdJNq1iXBubkUMxOI4gR4HjRRL3KWQXYUG186SD2jepVKYWgU0OolrHyz~hRAthEC93eREGXMpu~h1UQeS3HpJBcA__&Key-Pair-Id=K3EI6M078Z3AC3,471,500,AI2D_TEST,val,images/1267.jpg,data/mmstar/images\1267\image.jpg
1268,"Which planet is label C?
Options: A: Uranus, B: Saturn, C: Neptune, D: Jupiter",A,science & technology,geography & earth science & agriculture,https://datasets-server.huggingface.co/cached-assets/Lin-Chen/MMStar/--/bc98d668301da7b14f648724866e57302778ab27/--/val/val/1268/image/image.jpg?Expires=1745640619&Signature=LM94ZfESv-gG39DV5akCJCTN~X~tZrDEWf99Ud-7VIPv-G4Ax1~eU~G7CPIQFSzs5uXxRXJ5SknxrLKUQqVAWRY73SX1oXBz~hipGt0be0jrSMMbGfA9SsBHhl7aejNkqJljuUl7MXO5YYUPS34NFPYLh85E4yNm5AlRfAG9e4qfN2YkaYVDYH0jpdu~id-8b0HDyStiAhaGYt-sCNYQrSlEjq-AE6gVavjThhz1dx3rdeP9zegdLW5QbZ1nRMYTU4KyNUX2BJDj4OP-eyGF-7l790XEjUEKNw7jovUdYbxl3SRnqJhhzRWIXwA8sRPmGINfW~WYk7uIcdE6US8hug__&Key-Pair-Id=K3EI6M078Z3AC3,844,1500,AI2D_TEST,val,images/1268.jpg,data/mmstar/images\1268\image.jpg
1269,"Think about the magnetic force between the magnets in each pair. Which of the following statements is true?
Options: A: The magnetic force is weaker in Pair 2., B: The strength of the magnetic force is the same in both pairs., C: The magnetic force is weaker in Pair 1., D: nan",C,science & technology,biology & chemistry & physics,https://datasets-server.huggingface.co/cached-assets/Lin-Chen/MMStar/--/bc98d668301da7b14f648724866e57302778ab27/--/val/val/1269/image/image.jpg?Expires=1745640619&Signature=VA1N8d~ofeE0AlAmEIC651qOjIeUHJsMBjhbeEIemuyCN0Z1CUEda493BGHSimDof~4F55dC5JWVAM8OPtwY2WW974Dfd4ciKxg5F8feK1qk3-nWPBjAZJ2wHcntD5xJq4xgwJ3PrLqJc1qywl6oAnLrz3x6b~1UhQdbEhB72LAsLO94ZESckkr6cvgsgkfaCUEQKztqbVOgUd3Ko4wo-7Eu9idzFpgqJiRL9AzW2hgyz6Bw~0uFRi-bOVHl9slhV5kdAX~POoREVIy41GNGIfOMYTjlrC67OLuE9CHrOTgECX0jEfX8~NpJhKntRgiXXZo9gfHU63V0Ed0gI1W~xQ__&Key-Pair-Id=K3EI6M078Z3AC3,80,518,ScienceQA_TEST,val,images/1269.jpg,data/mmstar/images\1269\image.jpg
1270,"What layer is between layer L and layer C?
Options: A: PLASMA MEMBRANE, B: MIDDLE LAMELLA, C: RIBOSOME, D: MITOCHONDRION",A,science & technology,biology & chemistry & physics,https://datasets-server.huggingface.co/cached-assets/Lin-Chen/MMStar/--/bc98d668301da7b14f648724866e57302778ab27/--/val/val/1270/image/image.jpg?Expires=1745640619&Signature=xhXm8L5us9byF92DJtx2XWsN~7YSzRAEff5sARxA3EJdMElY~GnaxrVVMZ1glJhNmuJRU1dogJtwcaE4bBY2txSZxuKZpWS0hcyjqRAAcK40WTecKRD6HhaYBf5nU5UWefZDUnB7qDRjk15rA8DGque7rJGBxW0GkKvAi4YTBkJwdpsYTlBwxHPdzCl-MJgmkAiCW6UzjHQdwmHH1wNqcnQbnER-FaitT5qHvP9a6XJK63PHE3Yi3zNXiLtU~KASwOmGVGuF8fx8aa1uLn8rHRVobUAk3j2O-kUt1gUUyyy9aHLeVGGSRi1uOJoPHM3X~UdfrOhS-fY95S6UfbiB2A__&Key-Pair-Id=K3EI6M078Z3AC3,480,640,AI2D_TEST,val,images/1270.jpg,data/mmstar/images\1270\image.jpg
1271,"If C is Metamorphic Rock and H is Magma and Lava, what would you expect K to be?
Options: A: Melting, B: Erosion, C: Cooling, D: Heat and Pressure",A,science & technology,biology & chemistry & physics,https://datasets-server.huggingface.co/cached-assets/Lin-Chen/MMStar/--/bc98d668301da7b14f648724866e57302778ab27/--/val/val/1271/image/image.jpg?Expires=1745640619&Signature=p8jMCpc3IJn1~ZLM3sJCaTlw~1pLce4bPVvCr1FVplxpZdbBMe-CG2~Ll1M2kabl5k9qGEZiUdPtgKQO79QjDcY7yPnwim8-w88JeB5m-6X19HYfvpFZ3hZkWMn19CuruLJo15nFQaaDQZsij3hb-V7VH-DomlfVjASw4hVL6Nsyy1X0U0EElFwkD8k26mRl~RO7y0BInC588px4zAHwQvA3wjSNjablBQoxrMKme6rraAaB9DN989K0pgw-oDRiElgqUXqqzymzLUbkE6Ed5cy8N2~GVbolg79rrvXGvR2~hOow5svoErVaP6L~wRsywlidLxWtlI~f3smQSqJc0A__&Key-Pair-Id=K3EI6M078Z3AC3,498,673,AI2D_TEST,val,images/1271.jpg,data/mmstar/images\1271\image.jpg
1272,"which of these show reverse fault
Options: A: d, B: a, C: b, D: c",C,science & technology,geography & earth science & agriculture,https://datasets-server.huggingface.co/cached-assets/Lin-Chen/MMStar/--/bc98d668301da7b14f648724866e57302778ab27/--/val/val/1272/image/image.jpg?Expires=1745640619&Signature=tDN5Nh2cReyohvNGOR7WAp6qBN7JnAAHKwwypEwth49meAZ~GL3MC7V36UFYmSxpZ6w5tvzZxiSvzqQkBobmRCnFvqAldStFreGacjUnFRvg-u~d3sP5cozbA2eTMjleEGr3iheZIl6XkccnmPLgRO~J6MWTjjQoK26YIFuUW7lfiYi4OXIfrRgt2ubmCyAUm24T0WLeNBw2XcnjeJj~mQyNlygFSTDZPMg1jl00uRLC5SzEOqQ7YJtx0tDaqWeUKbVptKQ7c3eLM4bA0fbef9~LDeECf4SGufacDyrNySFNsMXv5~FxMBXL8GK8J2e~u7rZ1~J45koYCKLf~GVtxg__&Key-Pair-Id=K3EI6M078Z3AC3,564,640,AI2D_TEST,val,images/1272.jpg,data/mmstar/images\1272\image.jpg
1273,"Which figure shows active flexures?
Options: A: D, B: B, C: C, D: G",B,science & technology,geography & earth science & agriculture,https://datasets-server.huggingface.co/cached-assets/Lin-Chen/MMStar/--/bc98d668301da7b14f648724866e57302778ab27/--/val/val/1273/image/image.jpg?Expires=1745640619&Signature=kV9thKT-rsQR-XPlZcOkp5Sy3Ey4S4RNkQpb5atHwkYhaIjJ9fepwWNdPbdmsrZoIe05sPgEhZ3V-NVk5-nkaOIFn3BHrjCzQDdv6jcFsvUYIeR3432dMY9ab2DYzIFKB-gUBn5CzZu1QlTsjBx9x4~t~XnUc~Zr4eRMMNjHR2dGLqmmr05H-Frh7yIX-85k-bFK6OXn0UxNYA1OIJGoZ~OVPIa44ZF0Yz3E995EVizjPb9UkAq2fBKPVogy4Tn--zR7bHg1-mq4XvU~HacMYxuvCzQ~AqFsSsxSDO0hA5RkBM2FsMyUJIayLIcfeGgBFPelbOkkJmk6HZ7dRPgcsA__&Key-Pair-Id=K3EI6M078Z3AC3,110,502,AI2D_TEST,val,images/1273.jpg,data/mmstar/images\1273\image.jpg
